drink name,closest popular drink,score
'57 chevy with a white license plate,'57 chevy with a white license plate,12.10022394325398
“prepare for destiny! where’s my pizza?”,mojito,8.20864268150519
10 to 7,french 75,1.733609188051784
155 belmont,tequila sunrise,0.9648546578054015
1880's americana,kentucky mai tai,7.376827786646363
20th century,french 75,1.9832377501035794
3 & tree,martini,0.822268660084156
3 degrees,french 75,1.8607231597750924
3am,french 75,1.9399723336161254
50/50 split,manhattan,1.5393418698190295
7th heaven,french 75,1.7814739859340594
9 1/2 weeks,tequila sunrise,0.9233497273522852
a gift from zara,french 75,1.7403231152736103
a gilligan's island,tequila sunrise,0.9421534611674256
a love song,martini,0.822268660084156
a mi manera (my way) pisco punch,pink mojito,3.5362692695329283
a regal air ,tequila sunrise,0.8458535166450674
a tall tell,kentucky mai tai,8.337764880737755
a true amaretto sour,lemon drop,0.8476914000447386
a.d.m. (after dinner mint),'57 chevy with a white license plate,7.95003998954488
a.nise,pink colada,3.270135623102508
a1,tequila sunrise,0.9648546578054015
abano sour,french 75,1.7666781404119394
abbey martini,tequila sunrise,0.9233497273522852
above my pay grade,manhattan,1.3953572360367879
abrazo latino,pink colada,2.480686750073048
absolut summertime,lemon drop,0.9233497273522852
absolutely fabulous,pink mojito,3.5362692695329283
absolutly screwed up,tequila sunrise,0.9233497273522852
ace,ace,2.6130241301667176
across the pond,french 75,1.8607231597750924
adam & eve,french 75,1.8210985728545757
addington,mojito,8.872632567942773
addison,martini,1.1034059934175144
addison special,tequila sunrise,1.1678826289713697
adios amigos cocktail,mojito,9.588555149674255
alaska cocktail,french 75,1.8794955198839218
almond brother,pink mojito,3.7196750854556733
almond crusta,kentucky mai tai,10.264386170451859
amaretto bourbon punch,french 75,1.8444159490242023
"amaretto jello shot, why not",pink mojito,3.423055625413349
amaretto rose,pink mojito,3.921949051581475
amaretto sour,french 75,2.0080478522217065
amaretto sour (modern),french 75,1.6470119807450228
amaretto sour bv-style,kentucky mai tai,9.447344001183922
amaretto sourball,lemon drop,0.893756724803593
americana fizz (layered cocktail),french 75,1.9435655178914324
and the cherry on top is...,pink mojito,4.038109135877801
andy warhol,french 75,1.8136935933060079
angel face (classic),martini,0.822268660084156
angel's face,martini,0.8443259818698893
aperitivo spritz,french 75,1.4644772905699266
applejack,lemon drop,0.7229610767380842
apples & grapes,manhattan,1.4440604838562843
apricot blush,french 75,1.5274592394759865
apricot lady,pink mojito,3.7834125198977206
arapa cocktail,french 75,1.7071523534736746
arizona stingers,lemon drop,0.9233497273522852
arizona twister,tequila sunrise,1.0275995548657733
army special,lemon drop,0.8476914000447386
assemble mule,pink mojito,3.6409012905531526
astoria,martini,0.942065498327253
aviation,french 75,1.7757841512489383
aviation (adapted),french 75,1.8991813077639401
b-string,kentucky mai tai,8.141266578628017
bachelor's bait,ace,1.7868772796002828
bacio romana,martini,0.8324693061125823
baile de verano,french 75,1.4788990960657447
bajo control,french 75,1.9832377501035794
bakko & zengo,french 75,1.6124071771647646
banana's froster,flambeed brandy alexander,2.2395558977220094
barbary coast bulldog,pink colada,2.480686750073048
barrel aged ginger negroni,martini,0.8583414575503777
basil gin and tonic,mojito,8.000191607106366
basilway daquiri,pink mojito,3.6914548296253784
bay city shandy,kentucky mai tai,9.442729729217948
beachcomber,pink mojito,4.120057265874719
bermuda highball,kentucky mai tai,8.605517660147253
bianco americano,flambeed brandy alexander,2.302001632800105
big and bright,french 75,1.8577010426450247
bird is the word,pink colada,3.424778842954332
bird on,flambeed brandy alexander,2.293552962850762
bird on a wire,pink colada,2.7821659286205422
bird to buck,pink mojito,3.718049236046697
black jam,french 75,1.972747770003507
blood & sand,manhattan,1.4053194534559224
bloody fernet,tequila sunrise,0.8002927780435333
blue 88,french 75,1.8607231597750924
boko buku,kentucky mai tai,8.916318483106801
boomin' granny,french 75,1.9832377501035794
bourbon crusta,kentucky mai tai,9.367252982525384
brazilian mai tai,mojito,7.559076594545218
brazilian mule punch,french 75,1.787593123356336
brisa del sur,french 75,1.815124865424301
bubbleliciously delicious,kentucky mai tai,8.672814361493929
bubbly bird,pink colada,3.101924378073241
buccaneer,pink mojito,3.9931777549506164
buenaventura,pink mojito,3.513829505466914
bunny poison,manhattan,1.4258776805403521
bushido cocktail,kentucky mai tai,8.827070149493627
buster crusta,french 75,1.7666781404119394
buzzard's bay,pink mojito,3.6803130077028547
cafe creole,pink colada,3.0632069615867104
caipirinha,dark caipirinha,10.766938778848786
