Cocktail Name,Glass,strIBA,Ingredients,Instructions,floral,citrus,herbaceous,fruity,spicy,sweet,bitter,combined,flavors
'57 Chevy with a White License Plate,Highball glass,,"creme de cacao,vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,0,0,0,0,0,0,1,"creme de cacao,vodka,bitter",",bitter"
“Prepare for Destiny! Where’s my Pizza?”,Bamboo Highball Glass,,"1 oz green hat spring/summer gin, .25 oz luxardo maraschino liqueur, .5 oz lime, .5 oz sugar rich simple, 1 dash celery bitters, 3 oz fever-tree soda","Shake everything but soda water. Strain into a bamboo highball, add soda water, add ice, garnish with a basil leaf.",0,1,0,0,0,1,1,"1 oz green hat spring/summer gin, .25 oz luxardo maraschino liqueur, .5 oz lime, .5 oz sugar rich simple, 1 dash celery bitters, 3 oz fever-tree soda,citrus,sweet,bitter",",citrus,sweet,bitter"
10 to 7,Martini,,"1 oz no. 209 gin, 1 oz luxardo maraschino liqueur, 1 oz st. germain, 1 oz lemon juice",Shake and serve up in a martini glass with lemon peel rind.,0,1,0,0,0,0,0,"1 oz no. 209 gin, 1 oz luxardo maraschino liqueur, 1 oz st. germain, 1 oz lemon juice,citrus",",citrus"
155 Belmont,White wine glass,,"dark rum,light rum,vodka,orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.,0,1,0,0,0,0,0,"dark rum,light rum,vodka,orange juice,citrus",",citrus"
1880's Americana,Old Fashioned Glass,,"2 oz hirsch small batch reserve bourbon, 10 ml amer picon, 10 ml house cola syrup",Build over ice in Old Fashioned glass.,0,0,0,0,0,0,0,"2 oz hirsch small batch reserve bourbon, 10 ml amer picon, 10 ml house cola syrup",
20th Century,,,"1.5 oz no.3 london dry gin, .75 oz tempus fugit kina l'aero d'or, .75 oz tempus fugit creme de cacao, .75 oz fresh lemon juice",Shake with ice. Strain into a chilled cocktail glass.,0,1,0,0,0,0,1,"1.5 oz no.3 london dry gin, .75 oz tempus fugit kina l'aero d'or, .75 oz tempus fugit creme de cacao, .75 oz fresh lemon juice,citrus,bitter",",citrus,bitter"
3 & Tree,Collins,,"1.5 oz no.3 london dry gin,  top fever-tree tonic water, .25 oz maurin quina",Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.,0,0,0,0,0,0,0,"1.5 oz no.3 london dry gin,  top fever-tree tonic water, .25 oz maurin quina",
3 Degrees,Martini,,"1.75 oz no.3 london dry gin, .75 oz velvet falernum, .5 oz lime juice, .5 oz pear sage foam, 1 float prosecco","Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.",1,1,1,1,0,0,0,"1.75 oz no.3 london dry gin, .75 oz velvet falernum, .5 oz lime juice, .5 oz pear sage foam, 1 float prosecco,floral,citrus,herbaceous,fruity",",floral,citrus,herbaceous,fruity"
3AM,,,"1.5 oz no.3 london dry gin, .75 oz h by hine, .75 oz luxardo triplum (triple sec), .5 oz king's ginger liqueur, .5 oz fresh lime juice",Shake all ingredients with ice and strain into an iced up glass.,0,1,0,1,0,0,0,"1.5 oz no.3 london dry gin, .75 oz h by hine, .75 oz luxardo triplum (triple sec), .5 oz king's ginger liqueur, .5 oz fresh lime juice,citrus,fruity",",citrus,fruity"
50/50 Split,Coupe,,"1.5 oz junipero gin, .75 oz dry vermouth, .75 oz tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters",Stir gently and garnish with a lemon twist.,0,1,0,0,0,0,1,"1.5 oz junipero gin, .75 oz dry vermouth, .75 oz tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters,citrus,bitter",",citrus,bitter"
