Cocktail Name,Glass,strIBA,Ingredients,Instructions,floral,citrus,herbaceous,fruity,spicy,sweet,bitter,popularity
'57 Chevy with a White License Plate,Highball glass,,"creme de cacao,vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,0,0,0,0,0,0,1,6361
“Prepare for Destiny! Where’s my Pizza?”,Bamboo Highball Glass,,"1 oz green hat spring/summer gin, .25 oz luxardo maraschino liqueur, .5 oz lime, .5 oz sugar rich simple, 1 dash celery bitters, 3 oz fever-tree soda","Shake everything but soda water. Strain into a bamboo highball, add soda water, add ice, garnish with a basil leaf.",0,1,0,0,0,1,1,
10 to 7,Martini,,"1 oz no. 209 gin, 1 oz luxardo maraschino liqueur, 1 oz st. germain, 1 oz lemon juice",Shake and serve up in a martini glass with lemon peel rind.,0,1,0,0,0,0,0,
155 Belmont,White wine glass,,"dark rum,light rum,vodka,orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.,0,1,0,0,0,0,0,
1880's Americana,Old Fashioned Glass,,"2 oz hirsch small batch reserve bourbon, 10 ml amer picon, 10 ml house cola syrup",Build over ice in Old Fashioned glass.,0,0,0,0,0,0,0,
20th Century,,,"1.5 oz no.3 london dry gin, .75 oz tempus fugit kina l'aero d'or, .75 oz tempus fugit creme de cacao, .75 oz fresh lemon juice",Shake with ice. Strain into a chilled cocktail glass.,0,1,0,0,0,0,1,
3 & Tree,Collins,,"1.5 oz no.3 london dry gin,  top fever-tree tonic water, .25 oz maurin quina",Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.,0,0,0,0,0,0,0,
3 Degrees,Martini,,"1.75 oz no.3 london dry gin, .75 oz velvet falernum, .5 oz lime juice, .5 oz pear sage foam, 1 float prosecco","Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.",1,1,1,1,0,0,0,
3AM,,,"1.5 oz no.3 london dry gin, .75 oz h by hine, .75 oz luxardo triplum (triple sec), .5 oz king's ginger liqueur, .5 oz fresh lime juice",Shake all ingredients with ice and strain into an iced up glass.,0,1,0,1,0,0,0,
50/50 Split,Coupe,,"1.5 oz junipero gin, .75 oz dry vermouth, .75 oz tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters",Stir gently and garnish with a lemon twist.,0,1,0,0,0,0,1,
7th Heaven,Martini,,"1.5 oz no.3 london dry gin, .5 oz luxardo maraschino liqueur, 1 oz grapefruit juice, .25 oz pages elderflower syrup, 1 dash angostura bitters",Shake all ingredients in an iced-filled cocktail shaker. Strain into chilled martini glass or cocktail coupe.,0,0,0,1,0,0,1,
9 1/2 Weeks,Cocktail glass,,"absolut citron,orange curacao,strawberry liqueur,orange juice",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,0,1,0,1,0,0,0,
A Gift from Zara,Wine Glass,,"1.5 oz luxardo bitter bianco, .75 oz london dry gin, .75 oz elderflower liqueur, 2 dash citric acid, 4 drops orange flower water, 2.5 oz topo chico mineral water",Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,0,1,0,0,0,0,1,
A Gilligan's Island,Collins glass,,"vodka,peach schnapps,orange juice,cranberry juice","Shaken, not stirred!",0,1,0,1,0,0,0,
A Love Song,Martini,,"1 oz no.3 london dry gin, 1 oz maurin quina, .5 oz luxardo bitter, .5 oz king's ginger liqueur",Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,0,0,0,0,0,0,1,
A Mi Manera (My Way) Pisco Punch,Punch Glass,,"2 oz barsol selecto italia pisco, 1 oz luxardo apricot liqueur, 2 oz minta soda, 1 pinch citric acid or lime juice, 1 scoop pineapple sorbet","Mix the Pisco, apricot liqueur and citric acid ingredients together in a punch bowl and allow to rest for 45 minutes. Place a large 2.2 lb. ice block 10 minutes before serving. Scoop the pineapple sorbet in a punch glass and fill up with the mix, top up with mint-flavored soda. Garnish with candied pineapple wheel from Dress the Drink.",0,1,0,1,0,0,0,
A Regal Air ,Martini,,"3 oz domingo perez marin 'la guita' manzanilla sherry, .5 oz king's ginger liqueur, .25 oz chartreuse , .25 oz juice of an orange",Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.,0,1,0,0,0,0,0,
A Tall Tell,,,"9 oz c. drouin calvados selection, 6 oz marrakesh mint tea, 6 oz prosecco, 3 oz king's ginger liqueur, 2 oz lemon juice, 1.5 oz velvet falernum, .5 oz dale degroff's pimento aromatic bitters",Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.,1,1,0,0,0,0,1,
A True Amaretto Sour,Old-fashioned glass,,"amaretto,lemon,ice,maraschino cherry","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",0,1,0,1,0,0,0,
A.D.M. (After Dinner Mint),Irish coffee cup,,"white creme de menthe,southern comfort,vodka,hot chocolate",shake vigorously,0,0,0,0,0,0,0,
A.Nise,Rocks Glass,,"1.5 oz pink pigeon rum, .5 oz luxardo amaretto di saschira, .5 oz osha falernum, .5 oz lemon juice, 1 oz pineapple juice, 3 dash orange bitters",Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,0,1,0,1,0,0,1,
A1,Cocktail glass,,"gin,grand marnier,lemon juice,grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",0,1,0,0,0,0,0,
Abano Sour,,,"1.5 oz luxardo amaro abano, 1 oz fresh lemon juice, .25 oz agave nectar, 1 dash grapefruit bitters, .5 oz egg white",Shake ingredients with ice then strain into a sour cocktail glass previously rimmed with cardamom sugar.,0,1,0,1,0,1,1,
Abbey Martini,Cocktail glass,,"gin,sweet vermouth,orange juice,angostura bitters","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",0,1,0,0,0,0,1,6973
Above My Pay Grade,Coupe,,"1.5 oz semper fi white whiskey, .75 oz chateau de montifaud pineau des charentes rose, .75 oz tempus fugit gran classico bitter, 3 dash house-made citrus bitters",Stir and strain.,1,1,0,0,0,0,1,
Abrazo Latino,Coupe,,"1.5 oz chinaco reposado tequila, .75 oz luxardo amaro abano, .75 oz luxardo triplum (triple sec)",Stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.,0,0,0,1,0,0,0,
Absolut Summertime,Collins glass,,"absolut citron,sweet and sour,sprite,soda water,lemon",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,0,1,0,0,0,0,0,
Absolutely Fabulous,Champagne flute,,"vodka,cranberry juice,champagne",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,0,0,0,1,0,0,0,
Absolutly Screwed Up,Collins glass,,"absolut citron,orange juice,triple sec,ginger ale","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",0,1,0,0,0,0,0,
Ace,Martini Glass,,"gin,grenadine,heavy cream,milk,egg white",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,0,0,0,0,0,0,0,
Across The Pond,Rocks Glass,,"1 oz junipero gin, 1 oz king's ginger liqueur, .5 oz round pond meyer lemon syrup, .75 oz fresh lemon juice, 1 splash soda water","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
",0,1,0,0,0,0,0,
Adam & Eve,Cocktail glass,,"gin,cognac,creme de cassis,fresh lemon juice",Shake together all the ingredients and strain into a cold glass.,0,1,0,0,0,0,0,
Addington,Cocktail glass,,"sweet vermouth,dry vermouth,soda water",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,0,0,0,0,0,0,0,
Addison,Martini Glass,,"gin,vermouth",Shake together all the ingredients and strain into a cold glass.,0,0,0,0,0,0,0,
Addison Special,Old-fashioned glass,,"vodka,grenadine,orange juice",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,0,1,0,0,0,0,0,
Adios Amigos Cocktail,Martini Glass,,"rum,dry vermouth,cognac,gin,fresh lime juice,sugar syrup,water",Shake together all the ingredients and strain into a cold glass.,0,1,0,0,0,1,0,
Alaska Cocktail,Coupe,,"2.25 oz no.3 london dry gin, .75 oz green chartreuse, 3 dash orange bitters",Stir in mixing glass and serve in a chilled coupe.,0,1,0,0,0,0,1,
Almond Brother,Coupe,,"2 oz reposado tequila, .25 oz luxardo amaretto di saschira, 1 tsp luxardo apricot liqueur, .75 oz lime juice, .25 oz luxardo orgeat syrup, .25 oz maple syrup","Shake with ice, strain into a coupe. No garnish.",0,1,0,1,0,0,0,
Almond Crusta,Coupe,,"1 oz h by hine, .5 oz junipero gin, .75 oz lemonjuice, .5 oz orgeat, 1 dash angostura bitters",Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.,0,1,0,0,0,0,1,
Amaretto Bourbon Punch,Punch Bowl,,"37.5 oz hirsch small batch reserve bourbon, 6.25 oz luxardo amaretto di saschira, 12.5 oz fresh lemon juice, 12.5 oz sparkling apple juice, 6.25 oz simple syrup, 37.5 oz seltzer",Mix ingredients in the punch bowl.,0,1,0,1,0,1,0,
"Amaretto Jello Shot, Why Not",,,"2 cups boiling water, 6 packages raspberry jello packages, 1.25 cup luxardo amaretto di saschira, .25 cup fresh lime juice, .5 cup cold water",This is a recipe for Jello Shots!,0,1,0,1,0,0,0,
Amaretto Rose,Collins,,"1.5 oz luxardo amaretto di saschira, .5 oz lime juice,  fill club soda",Pour Amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,0,1,0,0,0,0,0,
Amaretto Sour,Old Fashioned Glass,,"2 oz luxardo amaretto di saschira, 1 oz fresh lemon juice, .75 oz simple syrup, .5 oz egg white",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,0,1,0,0,0,1,0,
Amaretto Sour (Modern),Old Fashioned Glass,,"2 oz luxardo amaretto di saschira, 1 oz fresh squeezed lemon juice, .5 oz pasteurized egg white, 1, small scoop lemon sorbet",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,0,1,0,0,0,0,0,
Amaretto Sour BV-Style,Coupe,,"1.5 oz luxardo amaretto di saschira, .5 oz bourbon, .5 oz fresh lime juice, .75 oz pineapple juice, .75 oz fresh egg white, 2 dash angostura bitters",Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,0,1,0,1,0,0,1,
