,place,name,year,month,visitors
0,1 ,'57 Chevy,2001,total,1512
1,2 ,Caipirinha,2001,total,1301
2,3 ,Long Island Icetea,2001,total,903
3,4 ,Piña Colada,2001,total,601
4,5 ,Tall Blonde,2001,total,573
5,6 ,Wiki Waki Woo,2001,total,517
6,7 ,Ghostbuster,2001,total,444
7,8 ,Mai Tai,2001,total,414
8,9 ,77 Sunset Strip,2001,total,402
9,10 ,Zombie,2001,total,301
0,1 ,Tall Blonde,2001,Oktober,3
1,2 ,Bleeding Heart,2001,Oktober,2
2,3 ,Piña Colada,2001,Oktober,2
3,4 ,Time Bomb,2001,Oktober,2
4,5 ,Sunny,2001,Oktober,2
5,6 ,Daiquiri Slush,2001,Oktober,2
6,7 ,Ghostbuster,2001,Oktober,2
7,8 ,Cuba Libre,2001,Oktober,1
8,9 ,Union Jack,2001,Oktober,1
9,10 ,Lemon Drop,2001,Oktober,1
0,1 ,'57 Chevy,2001,November,1051
1,2 ,Caipirinha,2001,November,885
2,3 ,Tall Blonde,2001,November,570
3,4 ,Long Island Icetea,2001,November,535
4,5 ,Mai Tai,2001,November,414
5,6 ,Piña Colada,2001,November,393
6,7 ,Wiki Waki Woo,2001,November,331
7,8 ,Ghostbuster,2001,November,290
8,9 ,77 Sunset Strip,2001,November,258
9,10 ,American Beauty (Aperitif),2001,November,168
0,1 ,'57 Chevy,2001,Dezember,460
1,2 ,Caipirinha,2001,Dezember,416
2,3 ,Long Island Icetea,2001,Dezember,368
3,4 ,Piña Colada,2001,Dezember,206
4,5 ,Wiki Waki Woo,2001,Dezember,185
5,6 ,Daiquiri Slush,2001,Dezember,158
6,7 ,Zombie,2001,Dezember,152
7,8 ,Ghostbuster,2001,Dezember,152
8,9 ,77 Sunset Strip,2001,Dezember,143
9,10 ,Sex On The Beach,2001,Dezember,75
0,1 ,'57 Chevy,2002,total,4336
1,2 ,Caipirinha,2002,total,3268
2,3 ,Long Island Icetea,2002,total,2768
3,4 ,Sex On The Beach,2002,total,1835
4,5 ,Mai Tai,2002,total,1723
5,6 ,Wiki Waki Woo,2002,total,1596
6,7 ,Piña Colada,2002,total,1367
7,8 ,Baby Aspirin,2002,total,1337
8,9 ,77 Sunset Strip,2002,total,1218
9,10 ,Tall Blonde,2002,total,1107
0,1 ,'57 Chevy,2002,Januar,934
1,2 ,Caipirinha,2002,Januar,778
2,3 ,Long Island Icetea,2002,Januar,555
3,4 ,Mai Tai,2002,Januar,481
4,5 ,Piña Colada,2002,Januar,388
5,6 ,Wiki Waki Woo,2002,Januar,368
6,7 ,Tall Blonde,2002,Januar,356
7,8 ,Sex On The Beach,2002,Januar,340
8,9 ,Baby Aspirin,2002,Januar,291
9,10 ,77 Sunset Strip,2002,Januar,273
0,1 ,'57 Chevy,2002,Februar,652
1,2 ,Caipirinha,2002,Februar,495
2,3 ,Long Island Icetea,2002,Februar,455
3,4 ,Sex On The Beach,2002,Februar,339
4,5 ,Mai Tai,2002,Februar,302
5,6 ,Wiki Waki Woo,2002,Februar,265
6,7 ,Piña Colada,2002,Februar,258
7,8 ,Baby Aspirin,2002,Februar,252
8,9 ,Tall Blonde,2002,Februar,206
9,10 ,77 Sunset Strip,2002,Februar,199
0,1 ,'57 Chevy,2002,März,718
1,2 ,Caipirinha,2002,März,510
2,3 ,Sex On The Beach,2002,März,451
3,4 ,Long Island Icetea,2002,März,431
4,5 ,Baby Aspirin,2002,März,262
5,6 ,Piña Colada,2002,März,259
6,7 ,Wiki Waki Woo,2002,März,246
7,8 ,77 Sunset Strip,2002,März,200
8,9 ,Ghostbuster,2002,März,107
9,10 ,Boston Tea Party,2002,März,96
0,1 ,'57 Chevy,2002,April,872
1,2 ,Caipirinha,2002,April,593
2,3 ,Long Island Icetea,2002,April,553
3,4 ,Mai Tai,2002,April,405
4,5 ,Wiki Waki Woo,2002,April,302
5,6 ,Tall Blonde,2002,April,234
