Cocktail Name,Glass,strIBA,Ingredients,Instructions,floral,citrus,herbaceous,fruity,spicy,sweet,bitter,combined,flavors
'57 Chevy with a White License Plate,Highball glass,,"creme de cacao,vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,0,0,0,0,0,0,1,"creme de cacao,vodka,bitter",",bitter"
“Prepare for Destiny! Where’s my Pizza?”,Bamboo Highball Glass,,"green hat spring/summer gin, luxardo maraschino liqueur, lime, sugar rich simple, 1 dash celery bitters, fever-tree soda","Shake everything but soda water. Strain into a bamboo highball, add soda water, add ice, garnish with a basil leaf.",0,1,0,0,0,1,1,"green hat spring/summer gin, luxardo maraschino liqueur, lime, sugar rich simple, 1 dash celery bitters, fever-tree soda,citrus,sweet,bitter",",citrus,sweet,bitter"
10 to 7,Martini,,"no. 209 gin, luxardo maraschino liqueur, st. germain, lemon juice",Shake and serve up in a martini glass with lemon peel rind.,0,1,0,0,0,0,0,"no. 209 gin, luxardo maraschino liqueur, st. germain, lemon juice,citrus",",citrus"
155 Belmont,White wine glass,,"dark rum,light rum,vodka,orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.,0,1,0,0,0,0,0,"dark rum,light rum,vodka,orange juice,citrus",",citrus"
1880's Americana,Old Fashioned Glass,,"hirsch small batch reserve bourbon, amer picon, house cola syrup",Build over ice in Old Fashioned glass.,0,0,0,0,0,0,0,"hirsch small batch reserve bourbon, amer picon, house cola syrup",
20th Century,,,"no.3 london dry gin, tempus fugit kina l'aero d'or, tempus fugit creme de cacao, fresh lemon juice",Shake with ice. Strain into a chilled cocktail glass.,0,1,0,0,0,0,1,"no.3 london dry gin, tempus fugit kina l'aero d'or, tempus fugit creme de cacao, fresh lemon juice,citrus,bitter",",citrus,bitter"
3 & Tree,Collins,,"no.3 london dry gin,  top fever-tree tonic water, maurin quina",Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.,0,0,0,0,0,0,0,"no.3 london dry gin,  top fever-tree tonic water, maurin quina",
3 Degrees,Martini,,"no.3 london dry gin, velvet falernum, lime juice, pear sage foam, 1 float prosecco","Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.",1,1,1,1,0,0,0,"no.3 london dry gin, velvet falernum, lime juice, pear sage foam, 1 float prosecco,floral,citrus,herbaceous,fruity",",floral,citrus,herbaceous,fruity"
3AM,,,"no.3 london dry gin, h by hine, luxardo triplum (triple sec), king's ginger liqueur, fresh lime juice",Shake all ingredients with ice and strain into an iced up glass.,0,1,0,1,0,0,0,"no.3 london dry gin, h by hine, luxardo triplum (triple sec), king's ginger liqueur, fresh lime juice,citrus,fruity",",citrus,fruity"
50/50 Split,Coupe,,"junipero gin, dry vermouth, tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters",Stir gently and garnish with a lemon twist.,0,1,0,0,0,0,1,"junipero gin, dry vermouth, tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters,citrus,bitter",",citrus,bitter"
7th Heaven,Martini,,"no.3 london dry gin, luxardo maraschino liqueur, grapefruit juice, pages elderflower syrup, 1 dash angostura bitters",Shake all ingredients in an iced-filled cocktail shaker. Strain into chilled martini glass or cocktail coupe.,0,0,0,1,0,0,1,"no.3 london dry gin, luxardo maraschino liqueur, grapefruit juice, pages elderflower syrup, 1 dash angostura bitters,fruity,bitter",",fruity,bitter"
9 1/2 Weeks,Cocktail glass,,"absolut citron,orange curacao,strawberry liqueur,orange juice",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,0,1,0,1,0,0,0,"absolut citron,orange curacao,strawberry liqueur,orange juice,citrus,fruity",",citrus,fruity"
A Gift from Zara,Wine Glass,,"luxardo bitter bianco, london dry gin, elderflower liqueur, 2 dash citric acid, 4 drops orange flower water, topo chico mineral water",Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,0,1,0,0,0,0,1,"luxardo bitter bianco, london dry gin, elderflower liqueur, 2 dash citric acid, 4 drops orange flower water, topo chico mineral water,citrus,bitter",",citrus,bitter"
A Gilligan's Island,Collins glass,,"vodka,peach schnapps,orange juice,cranberry juice","Shaken, not stirred!",0,1,0,1,0,0,0,"vodka,peach schnapps,orange juice,cranberry juice,citrus,fruity",",citrus,fruity"
A Love Song,Martini,,"no.3 london dry gin, maurin quina, luxardo bitter, king's ginger liqueur",Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,0,0,0,0,0,0,1,"no.3 london dry gin, maurin quina, luxardo bitter, king's ginger liqueur,bitter",",bitter"
A Mi Manera (My Way) Pisco Punch,Punch Glass,,"barsol selecto italia pisco, luxardo apricot liqueur, minta soda, 1 pinch citric acid or lime juice, 1 scoop pineapple sorbet","Mix the Pisco, apricot liqueur and citric acid ingredients together in a punch bowl and allow to rest for 45 minutes. Place a large 2.2 lb. ice block 10 minutes before serving. Scoop the pineapple sorbet in a punch glass and fill up with the mix, top up with mint-flavored soda. Garnish with candied pineapple wheel from Dress the Drink.",0,1,0,1,0,0,0,"barsol selecto italia pisco, luxardo apricot liqueur, minta soda, 1 pinch citric acid or lime juice, 1 scoop pineapple sorbet,citrus,fruity",",citrus,fruity"
A Regal Air ,Martini,,"domingo perez marin 'la guita' manzanilla sherry, king's ginger liqueur, chartreuse , juice of an orange",Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.,0,1,0,0,0,0,0,"domingo perez marin 'la guita' manzanilla sherry, king's ginger liqueur, chartreuse , juice of an orange,citrus",",citrus"
A Tall Tell,,,"c. drouin calvados selection, marrakesh mint tea, prosecco, king's ginger liqueur, lemon juice, velvet falernum, dale degroff's pimento aromatic bitters",Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.,1,1,0,0,0,0,1,"c. drouin calvados selection, marrakesh mint tea, prosecco, king's ginger liqueur, lemon juice, velvet falernum, dale degroff's pimento aromatic bitters,floral,citrus,bitter",",floral,citrus,bitter"
A True Amaretto Sour,Old-fashioned glass,,"amaretto,lemon,ice,maraschino cherry","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",0,1,0,1,0,0,0,"amaretto,lemon,ice,maraschino cherry,citrus,fruity",",citrus,fruity"
A.D.M. (After Dinner Mint),Irish coffee cup,,"white creme de menthe,southern comfort,vodka,hot chocolate",shake vigorously,0,0,0,0,0,0,0,"white creme de menthe,southern comfort,vodka,hot chocolate",
A.Nise,Rocks Glass,,"pink pigeon rum, luxardo amaretto di saschira, osha falernum, lemon juice, pineapple juice, 3 dash orange bitters",Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,0,1,0,1,0,0,1,"pink pigeon rum, luxardo amaretto di saschira, osha falernum, lemon juice, pineapple juice, 3 dash orange bitters,citrus,fruity,bitter",",citrus,fruity,bitter"
A1,Cocktail glass,,"gin,grand marnier,lemon juice,grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",0,1,0,0,0,0,0,"gin,grand marnier,lemon juice,grenadine,citrus",",citrus"
Abano Sour,,,"luxardo amaro abano, fresh lemon juice, agave nectar, 1 dash grapefruit bitters, egg white",Shake ingredients with ice then strain into a sour cocktail glass previously rimmed with cardamom sugar.,0,1,0,1,0,1,1,"luxardo amaro abano, fresh lemon juice, agave nectar, 1 dash grapefruit bitters, egg white,citrus,fruity,sweet,bitter",",citrus,fruity,sweet,bitter"
Abbey Martini,Cocktail glass,,"gin,sweet vermouth,orange juice,angostura bitters","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",0,1,0,0,0,0,1,"gin,sweet vermouth,orange juice,angostura bitters,citrus,bitter",",citrus,bitter"
Above My Pay Grade,Coupe,,"semper fi white whiskey, chateau de montifaud pineau des charentes rose, tempus fugit gran classico bitter, 3 dash house-made citrus bitters",Stir and strain.,1,1,0,0,0,0,1,"semper fi white whiskey, chateau de montifaud pineau des charentes rose, tempus fugit gran classico bitter, 3 dash house-made citrus bitters,floral,citrus,bitter",",floral,citrus,bitter"
Abrazo Latino,Coupe,,"chinaco reposado tequila, luxardo amaro abano, luxardo triplum (triple sec)",Stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.,0,0,0,1,0,0,0,"chinaco reposado tequila, luxardo amaro abano, luxardo triplum (triple sec),fruity",",fruity"
Absolut Summertime,Collins glass,,"absolut citron,sweet and sour,sprite,soda water,lemon",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,0,1,0,0,0,0,0,"absolut citron,sweet and sour,sprite,soda water,lemon,citrus",",citrus"
Absolutely Fabulous,Champagne flute,,"vodka,cranberry juice,champagne",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,0,0,0,1,0,0,0,"vodka,cranberry juice,champagne,fruity",",fruity"
Absolutly Screwed Up,Collins glass,,"absolut citron,orange juice,triple sec,ginger ale","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",0,1,0,0,0,0,0,"absolut citron,orange juice,triple sec,ginger ale,citrus",",citrus"
Ace,Martini Glass,,"gin,grenadine,heavy cream,milk,egg white",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,0,0,0,0,0,0,0,"gin,grenadine,heavy cream,milk,egg white",
Across The Pond,Rocks Glass,,"junipero gin, king's ginger liqueur, round pond meyer lemon syrup, fresh lemon juice, 1 splash soda water","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
",0,1,0,0,0,0,0,"junipero gin, king's ginger liqueur, round pond meyer lemon syrup, fresh lemon juice, 1 splash soda water,citrus",",citrus"
Adam & Eve,Cocktail glass,,"gin,cognac,creme de cassis,fresh lemon juice",Shake together all the ingredients and strain into a cold glass.,0,1,0,0,0,0,0,"gin,cognac,creme de cassis,fresh lemon juice,citrus",",citrus"
Addington,Cocktail glass,,"sweet vermouth,dry vermouth,soda water",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,0,0,0,0,0,0,0,"sweet vermouth,dry vermouth,soda water",
Addison,Martini Glass,,"gin,vermouth",Shake together all the ingredients and strain into a cold glass.,0,0,0,0,0,0,0,"gin,vermouth",
Addison Special,Old-fashioned glass,,"vodka,grenadine,orange juice",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,0,1,0,0,0,0,0,"vodka,grenadine,orange juice,citrus",",citrus"
Adios Amigos Cocktail,Martini Glass,,"rum,dry vermouth,cognac,gin,fresh lime juice,sugar syrup,water",Shake together all the ingredients and strain into a cold glass.,0,1,0,0,0,1,0,"rum,dry vermouth,cognac,gin,fresh lime juice,sugar syrup,water,citrus,sweet",",citrus,sweet"
Alaska Cocktail,Coupe,,"no.3 london dry gin, green chartreuse, 3 dash orange bitters",Stir in mixing glass and serve in a chilled coupe.,0,1,0,0,0,0,1,"no.3 london dry gin, green chartreuse, 3 dash orange bitters,citrus,bitter",",citrus,bitter"
Almond Brother,Coupe,,"reposado tequila, luxardo amaretto di saschira, 1 tsp luxardo apricot liqueur, lime juice, luxardo orgeat syrup, maple syrup","Shake with ice, strain into a coupe. No garnish.",0,1,0,1,0,0,0,"reposado tequila, luxardo amaretto di saschira, 1 tsp luxardo apricot liqueur, lime juice, luxardo orgeat syrup, maple syrup,citrus,fruity",",citrus,fruity"
Almond Crusta,Coupe,,"h by hine, junipero gin, lemonjuice, orgeat, 1 dash angostura bitters",Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.,0,1,0,0,0,0,1,"h by hine, junipero gin, lemonjuice, orgeat, 1 dash angostura bitters,citrus,bitter",",citrus,bitter"
Amaretto Bourbon Punch,Punch Bowl,,"hirsch small batch reserve bourbon, luxardo amaretto di saschira, fresh lemon juice, sparkling apple juice, simple syrup, seltzer",Mix ingredients in the punch bowl.,0,1,0,1,0,1,0,"hirsch small batch reserve bourbon, luxardo amaretto di saschira, fresh lemon juice, sparkling apple juice, simple syrup, seltzer,citrus,fruity,sweet",",citrus,fruity,sweet"
"Amaretto Jello Shot, Why Not",,,"boiling water, 6 packages raspberry jello packages, luxardo amaretto di saschira, fresh lime juice, cold water",This is a recipe for Jello Shots!,0,1,0,1,0,0,0,"boiling water, 6 packages raspberry jello packages, luxardo amaretto di saschira, fresh lime juice, cold water,citrus,fruity",",citrus,fruity"
Amaretto Rose,Collins,,"luxardo amaretto di saschira, lime juice,  fill club soda",Pour Amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,0,1,0,0,0,0,0,"luxardo amaretto di saschira, lime juice,  fill club soda,citrus",",citrus"
Amaretto Sour,Old Fashioned Glass,,"luxardo amaretto di saschira, fresh lemon juice, simple syrup, egg white",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,0,1,0,0,0,1,0,"luxardo amaretto di saschira, fresh lemon juice, simple syrup, egg white,citrus,sweet",",citrus,sweet"
Amaretto Sour (Modern),Old Fashioned Glass,,"luxardo amaretto di saschira, fresh squeezed lemon juice, pasteurized egg white, 1, small scoop lemon sorbet",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,0,1,0,0,0,0,0,"luxardo amaretto di saschira, fresh squeezed lemon juice, pasteurized egg white, 1, small scoop lemon sorbet,citrus",",citrus"
Amaretto Sour BV-Style,Coupe,,"luxardo amaretto di saschira, bourbon, fresh lime juice, pineapple juice, fresh egg white, 2 dash angostura bitters",Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,0,1,0,1,0,0,1,"luxardo amaretto di saschira, bourbon, fresh lime juice, pineapple juice, fresh egg white, 2 dash angostura bitters,citrus,fruity,bitter",",citrus,fruity,bitter"
Amaretto Sourball,Old Fashioned Glass,,"vodka, luxardo amaretto di saschira, 1 splash lemon juice, 1 splash orange juice","Shake all ingredients together with ice in a cocktail shaker. Strain into a small old-fashioned glass, and serve.",0,1,0,0,0,0,0,"vodka, luxardo amaretto di saschira, 1 splash lemon juice, 1 splash orange juice,citrus",",citrus"
Americana Fizz (Layered Cocktail),Highball Glass,,"junipero gin, fresh lemon juice, simple syrup, the genuine curacao liqueur blue, luxardo aperitivo,  splash perrier grapefruit","Shake the gin, lemon, and simple syrup ingredients together in a shaker to chill. Gently pour into a highball glass filled with ice and 3/Curacao Blue. Top the cocktail with 1/Luxardo Aperitivo. Add a splash of Perrier grapefruit and garnish with Luxardo Cherries and blueberries for color.",0,1,0,1,0,1,0,"junipero gin, fresh lemon juice, simple syrup, the genuine curacao liqueur blue, luxardo aperitivo,  splash perrier grapefruit,citrus,fruity,sweet",",citrus,fruity,sweet"
And The Cherry On Top Is...,Tall Glass,,"luxardo maraschino liqueur, vodka, root 23 cherry almond simple syrup, lemon juice,  splash club soda","In the bottom of a cocktail shaker, muddle pitted cherries if using. Add Luxardo Maraschino, vodka, fresh lemon juice and simple syrup. Shake hard, then double strain (though a fine mesh strainer) into a tall glass with fresh ice. Add a splash of soda and stick a cherry on top.",0,1,0,1,0,1,0,"luxardo maraschino liqueur, vodka, root 23 cherry almond simple syrup, lemon juice,  splash club soda,citrus,fruity,sweet",",citrus,fruity,sweet"
Andy Warhol,Collins,,"no.3 london dry gin, tempus fugit alessio vermouth bianco, fresh squeezed ruby grapefruit, simple syrup, 3 slices cucumber, 1 fill soda water","Shake and strain over fresh ice into collins glass. Add soda. Garnish with basil.
",0,0,0,1,0,1,0,"no.3 london dry gin, tempus fugit alessio vermouth bianco, fresh squeezed ruby grapefruit, simple syrup, 3 slices cucumber, 1 fill soda water,fruity,sweet",",fruity,sweet"
Angel Face (Classic),,,"luxardo apricot liqueur, c. drouin calvados selection, no.3 london dry gin","Stir the ingredients in a mixing glass filled with ice, then strain and serve into a chilled cocktail glass.",0,0,0,1,0,0,0,"luxardo apricot liqueur, c. drouin calvados selection, no.3 london dry gin,fruity",",fruity"
Angel's Face,Cocktail Glass,,"no.3 london dry gin, applejack, luxardo apricot liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.",0,0,0,1,0,0,0,"no.3 london dry gin, applejack, luxardo apricot liqueur,fruity",",fruity"
Aperitivo Spritz,,,"luxardo aperitivo, prosecco, 1 splash sparkling water","Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.",1,0,0,0,0,0,0,"luxardo aperitivo, prosecco, 1 splash sparkling water,floral",",floral"
Applejack,Cocktail glass,,"jack daniels,midori melon liqueur,sour mix","Add all ingredients into mixing glass, chill and strain into cocktail glass",0,1,0,0,0,0,0,"jack daniels,midori melon liqueur,sour mix,citrus",",citrus"
Apples & Grapes,,,"tempus fugit kina l'aero d'or, c. drouin pommeau de normandie, 2 dash orange bitters",On the rocks with twist.,0,1,0,0,0,0,1,"tempus fugit kina l'aero d'or, c. drouin pommeau de normandie, 2 dash orange bitters,citrus,bitter",",citrus,bitter"
