Cocktail Name,Glass,strIBA,Ingredients,Instructions,floral,citrus,herbaceous,fruity,spicy,sweet,bitter,popularity
'57 Chevy with a White License Plate,Highball glass,,"creme de cacao,vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,0,0,0,0,0,0,1,6361
“Prepare for Destiny! Where’s my Pizza?”,Bamboo Highball Glass,,"green hat spring/summer gin, luxardo maraschino liqueur, lime, sugar rich simple, 1 dash celery bitters, fever-tree soda","Shake everything but soda water. Strain into a bamboo highball, add soda water, add ice, garnish with a basil leaf.",0,1,0,0,0,1,1,
10 to 7,Martini,,"no. 209 gin, luxardo maraschino liqueur, st. germain, lemon juice",Shake and serve up in a martini glass with lemon peel rind.,0,1,0,0,0,0,0,
155 Belmont,White wine glass,,"dark rum,light rum,vodka,orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.,0,1,0,0,0,0,0,
1880's Americana,Old Fashioned Glass,,"hirsch small batch reserve bourbon, amer picon, house cola syrup",Build over ice in Old Fashioned glass.,0,0,0,0,0,0,0,
20th Century,,,"no.3 london dry gin, tempus fugit kina l'aero d'or, tempus fugit creme de cacao, fresh lemon juice",Shake with ice. Strain into a chilled cocktail glass.,0,1,0,0,0,0,1,
3 & Tree,Collins,,"no.3 london dry gin,  top fever-tree tonic water, maurin quina",Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.,0,0,0,0,0,0,0,
3 Degrees,Martini,,"no.3 london dry gin, velvet falernum, lime juice, pear sage foam, 1 float prosecco","Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.",1,1,1,1,0,0,0,
3AM,,,"no.3 london dry gin, h by hine, luxardo triplum (triple sec), king's ginger liqueur, fresh lime juice",Shake all ingredients with ice and strain into an iced up glass.,0,1,0,1,0,0,0,
50/50 Split,Coupe,,"junipero gin, dry vermouth, tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters",Stir gently and garnish with a lemon twist.,0,1,0,0,0,0,1,
7th Heaven,Martini,,"no.3 london dry gin, luxardo maraschino liqueur, grapefruit juice, pages elderflower syrup, 1 dash angostura bitters",Shake all ingredients in an iced-filled cocktail shaker. Strain into chilled martini glass or cocktail coupe.,0,0,0,1,0,0,1,
9 1/2 Weeks,Cocktail glass,,"absolut citron,orange curacao,strawberry liqueur,orange juice",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,0,1,0,1,0,0,0,
A Gift from Zara,Wine Glass,,"luxardo bitter bianco, london dry gin, elderflower liqueur, 2 dash citric acid, 4 drops orange flower water, topo chico mineral water",Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,0,1,0,0,0,0,1,
A Gilligan's Island,Collins glass,,"vodka,peach schnapps,orange juice,cranberry juice","Shaken, not stirred!",0,1,0,1,0,0,0,
A Love Song,Martini,,"no.3 london dry gin, maurin quina, luxardo bitter, king's ginger liqueur",Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,0,0,0,0,0,0,1,
A Mi Manera (My Way) Pisco Punch,Punch Glass,,"barsol selecto italia pisco, luxardo apricot liqueur, minta soda, 1 pinch citric acid or lime juice, 1 scoop pineapple sorbet","Mix the Pisco, apricot liqueur and citric acid ingredients together in a punch bowl and allow to rest for 45 minutes. Place a large 2.2 lb. ice block 10 minutes before serving. Scoop the pineapple sorbet in a punch glass and fill up with the mix, top up with mint-flavored soda. Garnish with candied pineapple wheel from Dress the Drink.",0,1,0,1,0,0,0,
