Cocktail,strGlass,strIBA,Ingredients,Preparation,Notes
'57 Chevy with a White License Plate,Highball glass,,"1 oz white Creme de Cacao,1 oz Vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,
“Prepare for Destiny! Where’s my Pizza?”,Bamboo Highball Glass,,"1 oz Green Hat Spring/Summer Gin, .25 oz Luxardo Maraschino Liqueur, .5 oz Lime, .5 oz Sugar Rich Simple, 1 dash Celery Bitters, 3 oz Fever-Tree Soda","Shake everything but soda water. Strain into a bamboo highball, add soda water, add ice, garnish with a basil leaf.",
#106 Cocktail,Coupe,,"1 oz Chinaco Blanco Tequila, 1 oz Luxardo Bitter Bianco, .5 oz Pear Syrup*, .5 oz Lemon Juice,  pinch Grey Sea Salt","Shake and double strain into a coupe. Garnish with sage.

*Pear Syrup:
-- Pear
-- Sage
-- White Pepper
-- Star Anise",
10 to 7,Martini,,"1 oz No. 209 Gin, 1 oz Luxardo Maraschino Liqueur, 1 oz St. Germain, 1 oz Lemon Juice",Shake and serve up in a martini glass with lemon peel rind.,
155 Belmont,White wine glass,,"1 shot Dark rum,2 shots Light rum,1 shot Vodka,1 shot Orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.,
1880's Americana,Old Fashioned Glass,,"2 oz Hirsch Small Batch Reserve Bourbon, 10 ml Amer Picon, 10 ml House Cola Syrup",Build over ice in Old Fashioned glass.,"Cocktail Inspiration: The inspiration was to use ingredients that were created or changed in that era. The 1880's saw Coca Cola born and the reformulation of Amer Picon along with the push for American Whiskies.

This cocktail was used at Tales of the Cocktail 2013."
20th Century,N/A,,"1.5 oz No.3 London Dry Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Tempus Fugit Creme de Cacao, .75 oz Fresh Lemon Juice",Shake with ice. Strain into a chilled cocktail glass.,
3 & Tree,Collins,,"1.5 oz No.3 London Dry Gin,  top Fever-Tree Tonic Water, .25 oz Maurin Quina",Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.,
3 Degrees,Martini,,"1.75 oz No.3 London Dry Gin, .75 oz Velvet Falernum, .5 oz Lime juice, .5 oz Pear Sage Foam, 1 float Prosecco","Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.",
3AM,N/A,,"1.5 oz No.3 London Dry Gin, .75 oz H by HINE, .75 oz Luxardo Triplum (Triple Sec), .5 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice",Shake all ingredients with ice and strain into an iced up glass.,
