Cocktail Name,Glass,strIBA,Ingredients,Instructions
'57 Chevy with a White License Plate,Highball glass,,"Creme de Cacao,Vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
“Prepare for Destiny! Where’s my Pizza?”,Bamboo Highball Glass,,"1 oz Green Hat Spring/Summer Gin, .25 oz Luxardo Maraschino Liqueur, .5 oz Lime, .5 oz Sugar Rich Simple, 1 dash Celery Bitters, 3 oz Fever-Tree Soda","Shake everything but soda water. Strain into a bamboo highball, add soda water, add ice, garnish with a basil leaf."
10 to 7,Martini,,"1 oz No. 209 Gin, 1 oz Luxardo Maraschino Liqueur, 1 oz St. Germain, 1 oz Lemon Juice",Shake and serve up in a martini glass with lemon peel rind.
155 Belmont,White wine glass,,"Dark rum,Light rum,Vodka,Orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.
1880's Americana,Old Fashioned Glass,,"2 oz Hirsch Small Batch Reserve Bourbon, 10 ml Amer Picon, 10 ml House Cola Syrup",Build over ice in Old Fashioned glass.
20th Century,N/A,,"1.5 oz No.3 London Dry Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Tempus Fugit Creme de Cacao, .75 oz Fresh Lemon Juice",Shake with ice. Strain into a chilled cocktail glass.
3 & Tree,Collins,,"1.5 oz No.3 London Dry Gin,  top Fever-Tree Tonic Water, .25 oz Maurin Quina",Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.
3 Degrees,Martini,,"1.75 oz No.3 London Dry Gin, .75 oz Velvet Falernum, .5 oz Lime juice, .5 oz Pear Sage Foam, 1 float Prosecco","Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage."
3AM,N/A,,"1.5 oz No.3 London Dry Gin, .75 oz H by HINE, .75 oz Luxardo Triplum (Triple Sec), .5 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice",Shake all ingredients with ice and strain into an iced up glass.
50/50 Split,Coupe,,"1.5 oz Junipero Gin, .75 oz Dry Vermouth, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1 dash The Bitter Truth Orange Bitters",Stir gently and garnish with a lemon twist.
7th Heaven,Martini,,"1.5 oz No.3 London Dry Gin, .5 oz Luxardo Maraschino Liqueur, 1 oz Grapefruit juice, .25 oz Pages Elderflower Syrup, 1 dash Angostura bitters",Shake all ingredients in an iced-filled cocktail shaker. Strain into chilled martini glass or cocktail coupe.
9 1/2 Weeks,Cocktail glass,,"Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Gift from Zara,Wine Glass,,"1.5 oz Luxardo Bitter Bianco, .75 oz London Dry Gin, .75 oz Elderflower Liqueur, 2 dash Citric Acid, 4 drops Orange Flower Water, 2.5 oz Topo Chico Mineral Water",Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.
A Gilligan's Island,Collins glass,,"Vodka,Peach schnapps,Orange juice,Cranberry juice","Shaken, not stirred!"
A Love Song,Martini,,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .5 oz Luxardo Bitter, .5 oz King's Ginger Liqueur",Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.
A Mi Manera (My Way) Pisco Punch,Punch Glass,,"2 oz BarSol Selecto Italia Pisco, 1 oz Luxardo Apricot Liqueur, 2 oz Minta Soda, 1 pinch Citric Acid or Lime Juice, 1 scoop Pineapple Sorbet","Mix the Pisco, apricot liqueur and citric acid ingredients together in a punch bowl and allow to rest for 45 minutes. Place a large 2.2 lb. ice block 10 minutes before serving. Scoop the pineapple sorbet in a punch glass and fill up with the mix, top up with mint-flavored soda. Garnish with candied pineapple wheel from Dress the Drink."
A Regal Air ,Martini,,"3 oz Domingo Perez Marin 'la Guita' Manzanilla Sherry, .5 oz King's Ginger Liqueur, .25 oz Chartreuse , .25 oz Juice of an Orange",Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.
A Tall Tell,N/A,,"9 oz C. Drouin Calvados Selection, 6 oz Marrakesh Mint Tea, 6 oz Prosecco, 3 oz King's Ginger Liqueur, 2 oz Lemon Juice, 1.5 oz Velvet Falernum, .5 oz Dale DeGroff's Pimento Aromatic Bitters",Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.
A True Amaretto Sour,Old-fashioned glass,,"Amaretto,Lemon,Ice,Maraschino cherry","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry."
A.D.M. (After Dinner Mint),Irish coffee cup,,"White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate",shake vigorously
A.Nise,Rocks Glass,,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Amaretto di Saschira, .5 oz Osha Falernum, .5 oz Lemon juice, 1 oz Pineapple juice, 3 dash Orange bitters",Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.
A1,Cocktail glass,,"Gin,Grand Marnier,Lemon Juice,Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
Abano Sour,N/A,,"1.5 oz Luxardo Amaro Abano, 1 oz Fresh Lemon Juice, .25 oz Agave Nectar, 1 dash Grapefruit Bitters, .5 oz Egg White",Shake ingredients with ice then strain into a sour cocktail glass previously rimmed with cardamom sugar.
Abbey Martini,Cocktail glass,,"Gin,Sweet Vermouth,Orange Juice,Angostura Bitters","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
Above My Pay Grade,Coupe,,"1.5 oz Semper Fi White Whiskey, .75 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter, 3 dash House-made Citrus Bitters",Stir and strain.
Abrazo Latino,Coupe,,"1.5 oz Chinaco Reposado Tequila, .75 oz Luxardo Amaro Abano, .75 oz Luxardo Triplum (Triple Sec)",Stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.
Absolut Summertime,Collins glass,,"Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
Absolutely Fabulous,Champagne flute,,"Vodka,Cranberry Juice,Champagne",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
Absolutly Screwed Up,Collins glass,,"Absolut Citron,Orange juice,Triple sec,Ginger ale","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
Ace,Martini Glass,,"Gin,Grenadine,Heavy cream,Milk,Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
Across The Pond,Rocks Glass,,"1 oz Junipero Gin, 1 oz King's Ginger Liqueur, .5 oz Round Pond Meyer Lemon Syrup, .75 oz Fresh Lemon Juice, 1 splash Soda water","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
"
Adam & Eve,Cocktail glass,,"Gin,Cognac,Creme de Cassis,Fresh Lemon Juice",Shake together all the ingredients and strain into a cold glass.
Addington,Cocktail glass,,"Sweet Vermouth,Dry Vermouth,Soda Water",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. 
Addison,Martini Glass,,"Gin,Vermouth",Shake together all the ingredients and strain into a cold glass.
Addison Special,Old-fashioned glass,,"Vodka,Grenadine,Orange juice",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
Adios Amigos Cocktail,Martini Glass,,"Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water",Shake together all the ingredients and strain into a cold glass.
Alaska Cocktail,Coupe,,"2.25 oz No.3 London Dry Gin, .75 oz Green Chartreuse, 3 dash Orange bitters",Stir in mixing glass and serve in a chilled coupe.
Almond Brother,Coupe,,"2 oz Reposado Tequila, .25 oz Luxardo Amaretto di Saschira, 1 tsp Luxardo Apricot Liqueur, .75 oz Lime Juice, .25 oz Luxardo Orgeat Syrup, .25 oz Maple Syrup","Shake with ice, strain into a coupe. No garnish."
Almond Crusta,Coupe,,"1 oz H by HINE, .5 oz Junipero Gin, .75 oz LemonJuice, .5 oz Orgeat, 1 dash Angostura Bitters",Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.
Amaretto Bourbon Punch,Punch Bowl,,"37.5 oz Hirsch Small Batch Reserve Bourbon, 6.25 oz Luxardo Amaretto di Saschira, 12.5 oz Fresh Lemon Juice, 12.5 oz Sparkling Apple Juice, 6.25 oz Simple Syrup, 37.5 oz Seltzer",Mix ingredients in the punch bowl.
"Amaretto Jello Shot, Why Not",N/A,,"2 cups Boiling water, 6 packages Raspberry Jello packages, 1.25 cup Luxardo Amaretto di Saschira, .25 cup Fresh lime juice, .5 cup Cold water",This is a recipe for Jello Shots!
Amaretto Rose,Collins,,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Lime Juice,  fill Club Soda",Pour Amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.
Amaretto Sour,Old Fashioned Glass,,"2 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lemon Juice, .75 oz Simple Syrup, .5 oz Egg White",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.
Amaretto Sour (Modern),Old Fashioned Glass,,"2 oz Luxardo Amaretto di Saschira, 1 oz Fresh Squeezed Lemon Juice, .5 oz Pasteurized Egg White, 1, small scoop Lemon Sorbet",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.
Amaretto Sour BV-Style,Coupe,,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Bourbon, .5 oz Fresh Lime Juice, .75 oz Pineapple Juice, .75 oz Fresh Egg White, 2 dash Angostura Bitters",Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.
