,Cocktail Name,Glass,Ingredients,Instructions,combined,flavors,popularity
0,'57 Chevy with a White License Plate,Highball glass,"creme de cacao,vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,"creme de cacao,vodka,bitter",bitter,12.10022394325398
1,“Prepare for Destiny! Where’s my Pizza?”,Bamboo Highball Glass,"green hat spring/summer gin, luxardo maraschino liqueur, lime, sugar rich simple, 1 dash celery bitters, fever-tree soda","Shake everything but soda water. Strain into a bamboo highball, add soda water, add ice, garnish with a basil leaf.","green hat spring/summer gin, luxardo maraschino liqueur, lime, sugar rich simple, 1 dash celery bitters, fever-tree soda,citrus,sweet,bitter","bitter, citrus, sweet",8.20864268150519
2,10 to 7,Martini,"no. 209 gin, luxardo maraschino liqueur, st. germain, lemon juice",Shake and serve up in a martini glass with lemon peel rind.,"no. 209 gin, luxardo maraschino liqueur, st. germain, lemon juice,citrus","citrus, sweet",1.733609188051784
3,155 Belmont,White wine glass,"dark rum,light rum,vodka,orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.,"dark rum,light rum,vodka,orange juice,citrus",citrus,0.9648546578054016
4,1880's Americana,Old Fashioned Glass,"hirsch small batch reserve bourbon, amer picon, house cola syrup",Build over ice in Old Fashioned glass.,"hirsch small batch reserve bourbon, amer picon, house cola syrup",,7.376827786646363
5,20th Century,,"no.3 london dry gin, tempus fugit kina l'aero d'or, tempus fugit creme de cacao, fresh lemon juice",Shake with ice. Strain into a chilled cocktail glass.,"no.3 london dry gin, tempus fugit kina l'aero d'or, tempus fugit creme de cacao, fresh lemon juice,citrus,bitter","bitter, citrus",1.9832377501035796
6,3 & Tree,Collins,"no.3 london dry gin,  top fever-tree tonic water, maurin quina",Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.,"no.3 london dry gin,  top fever-tree tonic water, maurin quina",,0.822268660084156
7,3 Degrees,Martini,"no.3 london dry gin, velvet falernum, lime juice, pear sage foam, 1 float prosecco","Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.","no.3 london dry gin, velvet falernum, lime juice, pear sage foam, 1 float prosecco,floral,citrus,herbaceous,fruity","citrus, floral, fruity, herbaceous",1.8607231597750924
8,3AM,,"no.3 london dry gin, h by hine, luxardo triplum (triple sec), king's ginger liqueur, fresh lime juice",Shake all ingredients with ice and strain into an iced up glass.,"no.3 london dry gin, h by hine, luxardo triplum (triple sec), king's ginger liqueur, fresh lime juice,citrus,fruity","citrus, fruity",1.9399723336161252
9,50/50 Split,Coupe,"junipero gin, dry vermouth, tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters",Stir gently and garnish with a lemon twist.,"junipero gin, dry vermouth, tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters,citrus,bitter","bitter, citrus",1.5393418698190295
10,7th Heaven,Martini,"no.3 london dry gin, luxardo maraschino liqueur, grapefruit juice, pages elderflower syrup, 1 dash angostura bitters",Shake all ingredients in an iced-filled cocktail shaker. Strain into chilled martini glass or cocktail coupe.,"no.3 london dry gin, luxardo maraschino liqueur, grapefruit juice, pages elderflower syrup, 1 dash angostura bitters,fruity,bitter","bitter, fruity, sweet",1.7814739859340594
11,9 1/2 Weeks,Cocktail glass,"absolut citron,orange curacao,strawberry liqueur,orange juice",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,"absolut citron,orange curacao,strawberry liqueur,orange juice,citrus,fruity","citrus, fruity",0.9233497273522852
12,A Gift from Zara,Wine Glass,"luxardo bitter bianco, london dry gin, elderflower liqueur, 2 dash citric acid, 4 drops orange flower water, topo chico mineral water",Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,"luxardo bitter bianco, london dry gin, elderflower liqueur, 2 dash citric acid, 4 drops orange flower water, topo chico mineral water,citrus,bitter","bitter, citrus",1.7403231152736105
13,A Gilligan's Island,Collins glass,"vodka,peach schnapps,orange juice,cranberry juice","Shaken, not stirred!","vodka,peach schnapps,orange juice,cranberry juice,citrus,fruity","citrus, fruity",0.9421534611674256
14,A Love Song,Martini,"no.3 london dry gin, maurin quina, luxardo bitter, king's ginger liqueur",Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,"no.3 london dry gin, maurin quina, luxardo bitter, king's ginger liqueur,bitter",bitter,0.822268660084156
